Date,Timestamp,Event,KeyCode,SequenceTime_ms,TimeSinceLastKey_ms,KeyOrder,KeyType,ExpectedKey1,ExpectedKey2,SequenceNumber,SequenceComposition,SequenceSpeed,SequenceValidity,SequenceType,SequenceWindowClosure,TargetFabInputRate,TargetRecognitionRate,StartPolicyReview,Trials,InterTrialIntervalSeconds,InputWindowSeconds,GameState,GameScenario,GamePolicy,CurrentRecognitionRate,FabAlarmFixationPoint,FabAlarmVariability,CurrentFabRate,CurrentFabAlarm,InputConfidence,InputValidity,InputType,Precision,ThreePrecision,InputNumber
2020-05-19,19:38:18.3963,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3,2,Running,Staggered,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,
2020-05-19,19:38:21.3939,InputWindowOpen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3,2,Running,Staggered,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,
2020-05-19,19:38:21.4169,KeyDown,T,0,0,0,CorrectKey,T,None,0,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,3,2,Running,Staggered,NA,NA,0,0,NA,NA,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:38:21.5280,KeyDown,Y,0.1105384,0.1105384,1,CorrectKey,Y,I,0,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,3,2,Running,Staggered,NA,NA,0,0,NA,NA,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:38:21.6290,KeyDown,I,0.212056,0.1015176,2,CorrectKey,Y,I,0,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,3,2,Running,Staggered,NA,NA,0,0,NA,NA,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:38:21.6980,KeyDown,U,0.2814102,0.06935419,3,CorrectKey,U,None,0,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,3,2,Running,Staggered,NA,NA,0,0,NA,NA,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:38:21.7010,KeySequenceStopped,NA,0.2875278,0.0061176,NA,NA,NA,NA,0,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,3,2,Running,Staggered,NA,NA,0,0,NA,NA,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:38:23.3974,InputWindowClosed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3,2,Running,Staggered,NA,NA,0,0,NA,NA,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:38:23.3984,DecisionRejectAllInput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3,2,Running,Staggered,NA,0,0,0,0,0,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:38:23.3994,NewPolicyMeetDesignGoals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3,2,Running,Staggered,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:38:30.4069,InputWindowOpen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3,2,Running,Staggered,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,0,
2020-05-19,19:38:30.4430,KeyDown,T,0,0,0,CorrectKey,T,None,1,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,3,2,Running,Staggered,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:38:30.6050,KeyDown,Y,0.1622197,0.1622197,1,CorrectKey,Y,I,1,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,3,2,Running,Staggered,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:38:30.6330,KeyDown,I,0.1910522,0.0288325,2,CorrectKey,Y,I,1,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,3,2,Running,Staggered,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:38:30.7780,KeyDown,U,0.3334285,0.1423763,3,CorrectKey,U,None,1,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,3,2,Running,Staggered,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:38:30.7810,KeySequenceStopped,NA,0.3419606,0.0085321,NA,NA,NA,NA,1,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,3,2,Running,Staggered,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:38:32.4094,InputWindowClosed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3,2,Running,Staggered,MeetDesignGoals,0,0,0,0,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:38:32.4104,DecisionAcceptAllInput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3,2,Running,Staggered,MeetDesignGoals,0.5,0,0,0.5,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:38:32.4114,NewPolicyMeetDesignGoals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,3,2,Running,Staggered,MeetDesignGoals,0.5,0,0,0.5,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:38:32.4174,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,2,2,Running,Staggered,MeetDesignGoals,0.5,0,0,0.5,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:38:32.4174,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,2,1.6,Running,Staggered,MeetDesignGoals,0.5,0,0,0.5,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:38:34.4168,InputWindowOpen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.4,20,2,1.6,Running,Staggered,MeetDesignGoals,0.5,0,0,0.5,0,1,Accepted,KeySequence,0,NA,1,
2020-05-19,19:38:34.2868,KeyDown,T,0,0,0,CorrectKey,T,None,2,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,2,1.6,Running,Staggered,MeetDesignGoals,0.5,0,0,0.5,0,1,Accepted,KeySequence,0,NA,2,
2020-05-19,19:38:34.4639,KeyDown,Y,0.1755472,0.1755472,1,CorrectKey,Y,I,2,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,2,1.6,Running,Staggered,MeetDesignGoals,0.5,0,0,0.5,0,1,Accepted,KeySequence,0,NA,2,
2020-05-19,19:38:34.4889,KeyDown,I,0.20236,0.0268128,2,CorrectKey,Y,I,2,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,2,1.6,Running,Staggered,MeetDesignGoals,0.5,0,0,0.5,0,1,Accepted,KeySequence,0,NA,2,
2020-05-19,19:38:34.6119,KeyDown,U,0.3247263,0.1223663,3,CorrectKey,U,None,2,Correct,Fast,Accepted,TYIU,ClosedByInputThreshold,0.2,1,0.4,20,2,1.6,Running,Staggered,MeetDesignGoals,0.5,0,0,0.5,0,1,Accepted,KeySequence,0,NA,2,
